label,SciName,PreyType,h_hrs.per.kg,encounter.rate,pcnt_protein,pcnt_carbs,pcnt_lipids,at_prot_pkg,at_carb_pkg,at_lip_pkg,at_cal_pkg,at_peret,starchtype,SourceNotes
deer,Odocoileus hemionus,large game,0.08,0.03,21.78,0,7.13,871.2,0,641.7,1512.9,18911.25,NA,"Simms 1987 (Tables 8 and 11), USDA FDC ID 172602"
pronghorn,Antilocapra americana,large game,0.06,0.25,22.38,0,2.03,895.2,0,182.7,1077.9,17965,NA,"Simms 1987 (Tables 8 and 11), USDA FDC ID 175292"
bighorn,Ovis canadensis,large game,0.055,0.425,20.6,0,2.31,824,0,207.9,1031.9,18761.81818,NA,"Simms 1987 (Tables 8 and 11), USDA FDC ID 175303"
pinyon_mon,Pinus monophylla,nut,4.5,6.85,8.3,22,57,332,880,5130,6342,1409.333333,S,"Barlow and Metcalf 1996, USDA FDC ID 170591"
oak_gambel,Quercus gambelii,nut,3.4,9.1,1.59,10.54,6.17,63.6,421.6,555.3,1040.5,306.0294118,S,"McCarthy 1993, Simms 1987 (Tables 8), USDA FDC ID 170157"
camas,Camassia quamash,root,2.7,5.9,4.97,30.73,0,198.8,1229.2,0,1428,528.8888889,U,Couture et al. 1986. Hanlding time and encounter rate taken from bitteroot.
canbys_biscuitroot,Lomatium canbyi,root,2.7,5.9,2.5,28,0,100,1120,0,1220,451.8518519,U,Couture et al. 1986. Hanlding time and encounter rate taken from bitteroot.
sego_lily,Calochortus nutalli,root,13.42,5.9,1.75,21.3,0,70,852,0,922,68.70342772,U,Encounter.rate from bitterroot. Other values from Smith 2001. Handling time derived by reported 3 people taking 8.5 hrs to obtain 1.9 kg of sego bulbs. Handling calculated as 8.5/(1.9/3).
common_yampah,Perideridia gairdneri,root,0.75,5.9,6.35,91.52,1.61,254,3660.8,144.9,4059.7,5412.933333,U,"From Couture et al. 1986: carb. From O'Connell et al 2008: energetic yield, handling time. From Kaldy 1980: protein, lipids, starch, sugars, fiber. Substituted from bitterroot: encounter rate. "
cous_biscuitroot,Lomatium cous,root,2.7,5.9,1,30,0,40,1200,0,1240,459.2592593,U,"From Couture et al. 1986: energetic yield, gross protein and carb percentages. Substituted from bitterroot: handling time, encounter rate"
